WorkerId,HITId,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,prompt_10
A3GNQDFPZALU92,3MG8450X2OASSITP6S2DU3J5NLPPUK,"(0.5763972444646859, 0.5932461784481443, 0.5848217114564151, 0.011913995475467929, 2)","(0.27620575308305445, 0.82011749715181, 0.5481616251174323, 0.384603682598019, 2)","(0.3869047335251218, 0.6734807866240305, 0.5301927600745762, 0.2026398704719145, 2)","(0.5575410240096911, 0.6358607996845026, 0.5967009118470968, 0.055380444480668437, 2)","(0.3860569330854995, 0.7387730236620412, 0.5624149783737704, 0.24940793948028117, 2)","(0.5527792191259311, 0.5699526212565864, 0.5613659201912587, 0.012143429102629883, 2)","(0.4837702110884062, 0.5248270233772226, 0.5042986172328144, 0.029031550383325302, 2)","(0.7643882088378641, 0.7674536876628435, 0.7659209482503537, 0.0021676208647267237, 2)","(0.5024440333089663, 0.84225819528557, 0.6723511142972681, 0.24028489827688038, 2)","(0.47853390397236467, 0.5251493260926252, 0.5018416150324949, 0.03296208108910962, 2)"
AO6B0VEVBGGAP,3MG8450X2OASSITP6S2DU3J5NLPPUK,"(0.364694884523485, 0.4833722849933821, 0.42403358475843356, 0.0839175946458558, 2)","(0.64848208845798, 0.6733187455351302, 0.6609004169965551, 0.017562168641257696, 2)","(0.4743075228497163, 0.4922111903707335, 0.4832593566102249, 0.012659804712220637, 2)","(0.4395614735044849, 0.6834621800676509, 0.5615118267860679, 0.17246384354700497, 2)","(0.14876563002137191, 0.29098028919184554, 0.21987295960660874, 0.10056094988357553, 2)","(0.1729972620504283, 0.45853960217803436, 0.31576843211423133, 0.20190892502010585, 2)","(0.19355472730798323, 0.4818963460386074, 0.3377255366732953, 0.2038883139027304, 2)","(0.4832697830906221, 0.5799764117546844, 0.5316230974226532, 0.06838191291404783, 2)","(0.25980095716210533, 0.705014908397821, 0.4824079327799632, 0.3148138039976314, 2)","(0.47024120783389683, 0.5333057163538205, 0.5017734620938586, 0.044593341626634836, 2)"
A2VYPWRZRKYE2A,3MG8450X2OASSITP6S2DU3J5NLPPUK,"(0.4861373513019065, 0.7022033180569521, 0.5941703346794294, 0.15278171027611992, 2)","(0.4915773016613036, 0.5691544514081314, 0.5003096373968203, 0.04249328626675735, 3)","(0.09885037408348794, 0.5481122571878175, 0.3739912827318324, 0.22651595711552963, 3)","(0.28943182557959846, 0.7799491408968383, 0.5361234452001326, 0.22294565365458519, 4)","(0.4559706517961978, 0.7602190184953065, 0.6080948351457521, 0.21513608325787115, 2)","(0.48991114131120056, 0.7416814217290488, 0.5429865993733085, 0.11363866263024044, 4)","(0.2894219237245425, 0.6050856447800856, 0.4472537842523141, 0.2232079577329533, 2)","(0.2615311775021803, 0.8151277637411751, 0.6289902099132608, 0.2817038958850812, 3)","(0.5146730477732095, 0.5564828041879248, 0.5355779259805672, 0.02956396228060294, 2)","(0.5606481550884843, 0.6076661835545745, 0.5965148761286212, 0.02456782562728871, 3)"
A3ESTJCYXNAS14,3MG8450X2OASSITP6S2DU3J5NLPPUK,"(1.3483911084331667e-10, 0.7561479102105984, 1.3483911084331667e-10, 0.3467992876160037, 5)","(1.8248489257353277e-11, 0.7890868083572516, 1.8248489257353277e-11, 0.4221971653188641, 5)","(5.439797980315243e-08, 0.5486024359355534, 5.439797980315243e-08, 0.2736042929475992, 5)","(2.708315939533232e-09, 0.6884675581296305, 2.708315939533232e-09, 0.3535854640675069, 5)","(0.26923602587557816, 0.7211667408588277, 0.7015517022629288, 0.25544828730901104, 3)","(2.708315939533232e-09, 0.660863477328103, 2.708315939533232e-09, 0.3404411778172782, 5)","(4.0194972443398975e-07, 0.4494018164763421, 4.0194972443398975e-07, 0.21921970294130871, 5)","(9.963337543511952e-10, 0.9004425076764265, 0.5091659254347496, 0.40778538286227134, 5)","(4.0194972443398975e-07, 0.969814385914109, 0.33683572495386727, 0.40405326554604365, 5)","(8.284801305552982e-16, 0.630369535377037, 0.5367922694138973, 0.32804419132708945, 5)"
AJKA9BKC011F2,3MG8450X2OASSITP6S2DU3J5NLPPUK,"(0.5636732464002043, 0.6200471055761932, 0.5918601759881987, 0.03986233810499724, 2)","(0.340478426302544, 0.6579172495255866, 0.4991978379140653, 0.22446314451289115, 2)","(0.4781688656341791, 0.9640126437368886, 0.7210907546855339, 0.3435434300937181, 2)","(0.12624426670185634, 0.6521924924820749, 0.3892183795919656, 0.3719015570022259, 2)","(0.539339630419803, 0.593218064069945, 0.5662788472448741, 0.038097805793724876, 2)","(0.5933771924079984, 0.8704848672341059, 0.7319310298210522, 0.1959447159883774, 2)","(0.4370890304937442, 0.6868877178095795, 0.5619883741516618, 0.17663434573252512, 2)","(0.4329476703214299, 1.0, 0.716473835160715, 0.40096654760334666, 2)","(0.36778698650669517, 0.6625032923130036, 0.5151451394098494, 0.208395898361889, 2)","(0.43585594403963535, 0.6419730886556317, 0.5389145163476335, 0.14574683067677932, 2)"
A3OK67ZUPCJR1K,39KMGHJ4RZA9OFDPR093QVUQZOA00M,"(0.415124183071844, 0.8468710052693861, 0.5138603526669194, 0.17689828867217336, 5)","(0.46554054984503523, 0.6244773484040429, 0.5924337044334814, 0.06529993715658577, 5)","(0.496659799695578, 0.6829187192363482, 0.6058656022054545, 0.08239686413757111, 4)","(0.4697698451116114, 0.8578385613524244, 0.5669955599780399, 0.18858947027174605, 5)","(0.5412728245576992, 0.6740046423590174, 0.5856596027429395, 0.06756819710395615, 3)","(0.5138110903249394, 0.9640126437368886, 0.6323901585000282, 0.21615193201504612, 4)","(0.46913844723466464, 0.7923161115201082, 0.6199933469063011, 0.11974603958630915, 5)","(0.40591609485975105, 0.7885839987272197, 0.4808368313512965, 0.2027955293864004, 3)","(0.5266652685405172, 0.8706882585511897, 0.6521432012284284, 0.14063993467653513, 5)","(0.5471634774191296, 0.8331400945212282, 0.715187879766117, 0.10907198539863597, 5)"
AO6B0VEVBGGAP,39KMGHJ4RZA9OFDPR093QVUQZOA00M,"(0.6227217442011378, 0.6276734987185824, 0.62519762145986, 0.00350141919805617, 2)","(0.3474971061854921, 0.40164061521999883, 0.37664069030152936, 0.027098168178025607, 3)","(0.5560758277365805, 0.6583189040205952, 0.6071973658785879, 0.0722967725698003, 2)","(0.40982604970812514, 0.46719065604915827, 0.4385083528786417, 0.04056290214384135, 2)","(0.4688673052178802, 0.8196675010992033, 0.6442674031585418, 0.2480531973492527, 2)","(0.25441682040967806, 0.9485438370694511, 0.6014803287395646, 0.4908219204849132, 2)","(0.5165455391666014, 0.7279456121072236, 0.6222455756369125, 0.14948242511964477, 2)","(0.3417804708090143, 0.5847065326973129, 0.4632435017531636, 0.17177466568815883, 2)","(0.4417918226831577, 0.7091084355894958, 0.5754501291363268, 0.18902138970989102, 2)","(0.8740451186941102, 0.9262095089437254, 0.9001273138189179, 0.03688579408196438, 2)"
A214JTAHTAWUKA,39KMGHJ4RZA9OFDPR093QVUQZOA00M,"(0.5080774110725905, 0.6421621738883964, 0.5751197924804934, 0.09481224504084614, 2)","(0.5288436788133231, 0.8298287769299344, 0.6793362278716287, 0.21282860391435424, 2)","(0.544842563941031, 0.5648998857319, 0.5548712248364656, 0.014182668250764138, 2)","(0.6434588841607617, 0.8862387211513484, 0.764848802656055, 0.17167126907140848, 2)","(0.6070968102575192, 0.7464692621866709, 0.676783036222095, 0.09855120586969929, 2)","(0.7181256902384331, 0.8727666295769306, 0.7954461599076819, 0.10934765685530914, 2)","(0.6977859087022511, 0.7086910857415287, 0.7032384972218899, 0.007711124634513046, 2)","(0.5963048726191827, 0.6967212594723009, 0.6465130660457419, 0.07100510808609152, 2)","(0.44811252183533623, 0.5880016187407654, 0.5180570702880508, 0.09891652903589104, 2)","(0.5146070820066752, 0.6038346199423287, 0.5592208509745019, 0.06309339714288052, 2)"
A2ZMFEMAI9NIA9,39KMGHJ4RZA9OFDPR093QVUQZOA00M,"(0.510519894638127, 0.6598476001083126, 0.5851837473732198, 0.10559063315699574, 2)","(0.5469343779836008, 0.8167430704896668, 0.6818387242366337, 0.19078355609411526, 2)","(0.3527695353439604, 0.4644378452076306, 0.40860369027579546, 0.07896141914824184, 2)","(0.5830103476110517, 0.6782652182061499, 0.6306377829086008, 0.06735536493884099, 2)","(0.45274475550342047, 0.4908630286761219, 0.4718038920897712, 0.026953689447538447, 2)","(0.6240411161826974, 0.7126407386462794, 0.6683409274144885, 0.06264939385456679, 2)","(0.44767555152356003, 0.4517733221600197, 0.44972443684178987, 0.0028975614047877427, 2)","(0.36116159911881884, 0.9118674048820931, 0.6365145020004559, 0.38940780969401284, 2)","(0.35548407312997254, 0.41028416839934945, 0.382884120764661, 0.03874951897464525, 2)","(0.5235209364878348, 0.6948476446328491, 0.609184290560342, 0.1211462771277081, 2)"
A2SEQ3XDCFO18H,39KMGHJ4RZA9OFDPR093QVUQZOA00M,"(0.6030710292714057, 0.7012055133086459, 0.6521382712900258, 0.06939155913097557, 2)","(0.6164888279872118, 0.733704399743908, 0.6750966138655599, 0.08288392564981821, 2)","(0.3983287155156951, 0.5627168454831984, 0.48052278049944674, 0.11623996144659712, 2)","(0.6114316754893847, 0.6751609480994526, 0.6432963117944186, 0.045063400822665106, 2)","(0.3229763669356845, 0.42210681263745264, 0.3725415897865686, 0.0700958103777651, 2)","(0.3656012285870805, 0.4836981973893282, 0.4246497129882043, 0.08350716747764547, 2)","(0.5357321109866798, 0.5403184266267466, 0.5380252688067132, 0.003243014889753105, 2)","(0.6807690110573751, 0.7183640069923742, 0.6995665090248746, 0.02658367656431859, 2)","(0.15695565500129827, 0.4859726953001024, 0.32146417515070036, 0.23265018032121199, 2)","(0.4744700356383814, 0.6030000382891466, 0.538735036963764, 0.09088443646028099, 2)"
