WorkerId,HITId,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,prompt_10
A2XY6KDQKMSL9D,39N6W9XWRDN3WEKVDA9F3FBQIIDYGN,"(0.5738931685756258, 0.6611422361473998, 0.637652908718845, 0.0451468949805718, 3)","(0.5547906310046948, 0.59641541727046, 0.5756030241375774, 0.02943316863396321, 2)","(0.7429573149580281, 0.8397358124718146, 0.7913465637149213, 0.06843273186504388, 2)","(0.5603344671452059, 0.7494411793910154, 0.6548878232681106, 0.13371863859690505, 2)","(0.5066804683234674, 0.699513906083309, 0.5833966462265794, 0.09708529300480748, 3)","(0.755711731276335, 0.789081381097872, 0.7723965561871035, 0.023595905674629283, 2)","(0.2939704521497036, 0.7825422900366437, 0.5653569116045144, 0.20064476330431988, 4)","(0.5237286612453496, 0.6071925652571281, 0.5420742375596868, 0.04386186659142521, 3)","(0.5672845399041819, 0.6676422067668403, 0.6352602816804538, 0.05122003488292944, 3)","(0.5993834372181599, 0.7511851515824418, 0.6752842944003008, 0.10734002162272709, 2)"
A14QGS6XH65BGQ,39N6W9XWRDN3WEKVDA9F3FBQIIDYGN,"(0.33764816479003923, 0.7656873291883638, 0.48245729949595395, 0.16501562473729836, 5)","(0.4390939918953565, 0.6752034819421118, 0.4966029638761781, 0.08973233655440757, 5)","(0.47114774111113483, 0.6463728403344503, 0.4811659360506254, 0.07676390734868943, 5)","(0.28339296176052864, 0.803640570271373, 0.6368462708901944, 0.2057963450069755, 5)","(0.3835654723565782, 0.6776208366085389, 0.6328534551941715, 0.11898360471336843, 5)","(0.13435152925651703, 0.5404831870621309, 0.4533710895095743, 0.16056972652489754, 5)","(0.31239399369202553, 0.7003528057682391, 0.5552549798630381, 0.14948121925399893, 5)","(0.15455157386782228, 0.6992557086396355, 0.583526016818016, 0.2249470388412313, 5)","(0.23153166653544605, 0.9036020036098448, 0.5757749468173716, 0.2630482661235417, 5)","(0.30051923319869317, 0.5517196018275667, 0.43385507487035546, 0.10211871096404167, 5)"
AO6B0VEVBGGAP,39N6W9XWRDN3WEKVDA9F3FBQIIDYGN,"(0.5631511953525804, 0.8814709867683894, 0.7223110910604849, 0.22508608309600592, 2)","(0.03841608787692547, 0.5409333931476147, 0.2896747405122701, 0.35533339422049476, 2)","(0.1934415345500154, 0.20941084252099146, 0.20142618853550343, 0.011292005957133562, 2)","(0.2500409412742686, 0.7012055133086459, 0.47562322729145723, 0.3190215283166348, 2)","(0.5183429601113034, 0.7717460174393431, 0.6450444887753233, 0.17918302021006033, 2)","(0.6541896035505768, 0.8529987544592307, 0.7535941790049037, 0.14057929876944886, 2)","(0.24028114141347542, 0.3880684294761699, 0.31417478544482264, 0.10450139356230095, 2)","(0.46419058784386574, 0.5585500439513331, 0.5113703158975994, 0.06672221128266458, 2)","(0.12418384916627943, 0.72353387536731, 0.4238588622667947, 0.4238044678310836, 2)","(0.33109672637308174, 0.7449505770698414, 0.5380236517214616, 0.2926388642478437, 2)"
A3394SNGRL8D4C,39N6W9XWRDN3WEKVDA9F3FBQIIDYGN,"(0.48866874268843535, 0.6296302323495649, 0.5635431728768796, 0.07052637957208542, 3)","(0.4244849732783385, 0.631776253919157, 0.4765175397127859, 0.10784427919959516, 3)","(0.09514004670601234, 0.43586962263554235, 0.26550483467077735, 0.2409321936905873, 2)","(0.427385435718929, 0.6305722688509003, 0.5383265560814143, 0.08313017259013536, 4)","(0.4705355686715127, 0.8629361259628535, 0.7869855289099746, 0.2081214660921869, 3)","(0.4874752654487867, 0.8065008590125561, 0.5965799983251405, 0.14678167817863993, 4)","(0.5623413251903491, 0.6097037578585072, 0.5676351376297435, 0.0259518569866758, 3)","(0.3616426351069608, 0.7748752411996234, 0.5682589381532921, 0.2921995779755111, 2)","(0.4663194020729416, 0.7570127178992786, 0.5701175793329185, 0.13218707687052228, 4)","(0.10551173833795616, 0.8739351325046804, 0.5831609706482522, 0.3879804365842502, 3)"
A2ZMFEMAI9NIA9,39N6W9XWRDN3WEKVDA9F3FBQIIDYGN,"(0.5400992121391333, 0.7144195781032121, 0.6272593951211727, 0.12326311287212079, 2)","(0.6574534281160546, 0.7032215596457394, 0.680337493880897, 0.03236295616687798, 2)","(0.4665522195754522, 0.6468384540755522, 0.5566953368255022, 0.1274816189696088, 2)","(0.4868373710763546, 0.5097185468849974, 0.498277958980676, 0.016179434575812904, 2)","(0.6547240068541124, 0.7676761208523254, 0.7112000638532189, 0.07986920575749239, 2)","(0.2529880355678026, 0.5740873387499651, 0.41353768715888384, 0.22705149471438227, 2)","(0.500012420317104, 0.7947036904538034, 0.6473580553854537, 0.20837819547013686, 2)","(0.3441073476191822, 0.5566184403004888, 0.45036289395983553, 0.15026803471231479, 2)","(0.6176380052249206, 0.7609654053518946, 0.6893017052884076, 0.10134777655962093, 2)","(0.4594626031569307, 0.7136820896489766, 0.5865723464029536, 0.17976032280828758, 2)"
A7J89OYQI6PUA,3YCT0L9OMM9CAKP818ULBDWM293SNB,"(0.724826702854703, 0.9125344222851629, 0.8186805625699329, 0.13272940129034008, 2)","(0.5179235434596623, 0.6775822358578458, 0.5977528896587541, 0.11289574407013266, 2)","(0.27175454973404145, 0.5000114896306159, 0.3858830196823287, 0.161402030053758, 2)","(0.3768722383307248, 0.5092498787641819, 0.44306105854745337, 0.09360512722797203, 2)","(0.6371137141809416, 0.7408824629298284, 0.688998088555385, 0.0733755859155809, 2)","(0.5122891444693881, 0.5207332064246721, 0.5165111754470302, 0.005970853469340669, 2)","(0.6361061525893661, 0.6433693259136468, 0.6397377392515065, 0.0051358391105321395, 2)","(0.654144998251465, 0.6662504648169859, 0.6601977315342255, 0.008559857497906866, 2)","(0.35760464670508196, 0.4701928269124549, 0.41389873680876843, 0.07961186570608643, 2)","(0.5244118641070783, 0.6216756062627228, 0.5730437351849005, 0.06877585164183608, 2)"
A9RIPO4QJ0Z04,3YCT0L9OMM9CAKP818ULBDWM293SNB,"(0.6305722688509003, 1.0, 0.9201665185134822, 0.1796216122217239, 5)","(0.1997851933993416, 0.6486944441475702, 0.499382883915243, 0.19275391221478197, 4)","(0.23287896954139942, 0.355433394487517, 0.2952818889864951, 0.061280659052135054, 3)","(0.46294696014849035, 0.9306048591020996, 0.6542221384658591, 0.1702048999862089, 5)","(0.1815336313495131, 1.0, 0.9262095089437254, 0.3991050936876384, 5)","(0.10445522730720386, 0.7952707287670506, 0.39512732785963217, 0.36497597420515365, 4)","(0.5847065326973129, 0.8769054476705177, 0.6930977286178778, 0.11434472758667727, 5)","(0.5587443695709438, 0.9036020036098449, 0.7577395672414201, 0.1292345540772069, 5)","(0.4989665278285598, 0.844988489445517, 0.7556301079662977, 0.1416382589270418, 5)","(0.4950372102992573, 0.7279385251678109, 0.6688768522637777, 0.08823207974593972, 5)"
AO6B0VEVBGGAP,3YCT0L9OMM9CAKP818ULBDWM293SNB,"(0.5709978146393283, 0.8757653731721587, 0.7233815939057435, 0.21550320732423245, 2)","(0.3860973950960897, 0.4893717819916407, 0.4377345885438652, 0.07302601929672724, 2)","(0.19304869754804488, 0.34295479618200586, 0.26800174686502537, 0.10599961888529326, 2)","(0.16217712887065489, 0.4739322495732364, 0.31805468922194563, 0.220444159918426, 2)","(0.7629921034742808, 0.9640126437368886, 0.8635023736055847, 0.14214298717747334, 2)","(0.5095687188543269, 0.72060180113559, 0.6150852599949584, 0.14922292353577984, 2)","(0.435579189405328, 0.5431107625404773, 0.48934497597290266, 0.07603630455552123, 2)","(0.6886735446951638, 0.84279236179474, 0.7657329532449519, 0.10897846067955956, 2)","(0.48415247130346006, 0.7051561232087876, 0.5946542972561238, 0.15627318092924838, 2)","(0.5867236116346606, 0.6726416801510482, 0.6296826458928544, 0.06075324887438809, 2)"
AJ7MWBQFNH3E4,3YCT0L9OMM9CAKP818ULBDWM293SNB,"(0.5390525482420617, 0.7163290698696184, 0.6276908090558401, 0.125353430588009, 2)","(0.5197402968879794, 0.7264444538040294, 0.6230923753460045, 0.14616191105478718, 2)","(0.5576482195844407, 0.870007234754041, 0.7138277271692408, 0.22087117779117604, 2)","(0.7388834030045272, 0.805122612691272, 0.7720030078478997, 0.04683819434993497, 2)","(0.6813703638254682, 1.0, 0.8406851819127341, 0.2253051764260139, 2)","(0.37444092558364767, 0.650562155262257, 0.5125015404229524, 0.19524719393531284, 2)","(0.6638364829330048, 0.805380871782283, 0.7346086773576439, 0.10008699719423017, 2)","(0.6262844962765469, 0.7108230378510219, 0.6685537670637844, 0.0597777760189321, 2)","(0.5530046162889316, 0.5938593679663051, 0.5734319921276183, 0.028888671954763287, 2)","(0.4728708045015879, 0.6265926706544315, 0.5497317375780097, 0.1086977739733265, 2)"
AHQ4XY8PP5EGS,3YCT0L9OMM9CAKP818ULBDWM293SNB,"(0.38913988092765145, 0.6580932417462957, 0.49973992188861094, 0.10840058542177919, 5)","(0.358082714392984, 0.6081119393802586, 0.5460571082548105, 0.1015934342915099, 5)","(0.19839811810055286, 0.6440893703509268, 0.37296611242667116, 0.19315458553094442, 5)","(0.42367301466585205, 0.6751389464525676, 0.5346930670550585, 0.09343004076316885, 5)","(0.40189844085591414, 0.863956033193923, 0.6427713046739675, 0.18850455298121777, 5)","(0.2933705789311311, 0.5737191205355068, 0.5009631364321364, 0.11033938288686534, 5)","(0.3444037291432751, 0.5503525620014846, 0.5323349985986037, 0.09809586041178486, 4)","(0.40057560326134106, 0.5875112493840524, 0.522491953980731, 0.07869890505423545, 4)","(0.40159064617692547, 0.5974970909115025, 0.5135861766288653, 0.09828816092278642, 3)","(0.5307110527400913, 1.0, 0.5547342487357737, 0.2642823046211053, 3)"
