WorkerId,HITId,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,prompt_10
AIO8DX5OGCGN1,37NXA7GVST62EC3RJQJB98C4WQAVLA,"(0.10901067671832654, 0.4500147316743501, 0.4165067734406927, 0.1434762505528319, 5)","(0.5478798990300426, 0.8197526802143903, 0.6392745893994182, 0.10455548439961888, 5)","(0.43141822056317536, 0.7048663330107415, 0.5846455154208927, 0.10313881225240931, 5)","(0.21847844937497599, 0.8872004574780172, 0.4849059539195794, 0.2439513853249506, 5)","(0.4797484043591882, 0.8246489718239468, 0.5974970909115025, 0.14139438246431923, 5)","(0.6352906085650102, 0.819725527677365, 0.6955822192007368, 0.08660819170906595, 5)","(0.35952902857522767, 0.7646224981916484, 0.5377728910646448, 0.16930044580741316, 5)","(0.31217125273496016, 0.7249122280214192, 0.6572610921202112, 0.1713726096637096, 5)","(0.6122203069625642, 0.7834888046770129, 0.7146232924131853, 0.06380398377921852, 5)","(0.0401760879030164, 0.7587332816845409, 0.5533882478871561, 0.28352766710080574, 5)"
ARQ3Y4VCYDMCK,37NXA7GVST62EC3RJQJB98C4WQAVLA,"(0.38129983074271107, 0.6342585525686556, 0.5077791916556833, 0.1788688275634069, 2)","(0.6633544424564431, 0.7982925340110677, 0.7091150877946194, 0.06862329794836215, 3)","(0.7307898851754946, 0.8671686741331227, 0.7989792796543087, 0.09643436648194789, 2)","(0.5839147206354462, 0.9640126437368884, 0.6711895881887243, 0.17812984077561242, 4)","(0.42884078725382324, 0.4761104148530946, 0.4689211025169766, 0.02547068765212873, 3)","(0.6821111662942863, 0.8381990706403004, 0.8030788741941274, 0.08188411367708384, 3)","(0.3193215821740517, 0.4958271734659374, 0.40757437781999456, 0.12480830051983362, 2)","(0.5549740547121165, 0.6109455387717302, 0.5829597967419233, 0.03957781593162761, 2)","(0.48029143769604027, 0.7191647803946272, 0.5997281090453337, 0.16890896046686887, 2)","(0.6268805781113566, 0.7719120955140846, 0.6993963368127205, 0.10255276944124375, 2)"
AXTFSJDN2YLO5,37NXA7GVST62EC3RJQJB98C4WQAVLA,"(0.46924700641056, 0.5989523143337889, 0.5150897960481047, 0.06577480550893396, 3)","(0.36680929006329116, 0.5483434779045091, 0.5303012996770644, 0.10000818196353703, 3)","(0.44594110865097375, 0.5462477855684438, 0.49609444710970874, 0.07092753144663119, 2)","(0.30506446104653856, 0.7059109257639948, 0.5054876934052667, 0.2834412534163675, 2)","(0.557113304609594, 0.7431801781037468, 0.6791424103827051, 0.0846841598946247, 5)","(0.5569075034824484, 0.8186004131177788, 0.6877539583001135, 0.18504483099158045, 2)","(0.5708257770514579, 0.8776838192194517, 0.7242547981354548, 0.216981402478616, 2)","(0.1232250684856562, 0.5607900239988007, 0.47311298464262247, 0.19693926416168392, 4)","(0.584031294864324, 0.6542221384658591, 0.6191267166650916, 0.049632421487849826, 2)","(0.5847213648709534, 0.6215836285758625, 0.6031524967234079, 0.026065556635627957, 2)"
A2UNRV6PEOEXG0,37NXA7GVST62EC3RJQJB98C4WQAVLA,"(0.3672056269893592, 0.8851613515264946, 0.6728850678464081, 0.21773569429248701, 5)","(0.6296129633243315, 0.8393757195171835, 0.7311104457090247, 0.09207171612308584, 5)","(0.17795291340072023, 0.6580370064762462, 0.42988105429544615, 0.17437132736628647, 5)","(0.2896204682801084, 0.7825422900366437, 0.62389860721175, 0.19833422131909179, 5)","(0.1953326790711783, 0.6589395512924276, 0.575043055624321, 0.18808823268380373, 5)","(0.26061191184333665, 0.6440819621285907, 0.40107167307025404, 0.1389869235086, 5)","(0.3719447442473343, 0.8540337728770934, 0.4880250205372732, 0.1987909896045808, 5)","(0.4884391791679525, 0.7323852725998858, 0.564926870711699, 0.09191203265202155, 5)","(0.1422471667213481, 0.7146028096757308, 0.364482275515975, 0.2210378971606371, 5)","(0.513162395441241, 0.8047814348707546, 0.606823952368533, 0.11122565077340535, 5)"
AXTFSJDN2YLO5,3Q9SPIIRWJMYXICSC9ZHMWF79NEAWI,"(0.48843917916795254, 0.544284520881774, 0.5163618500248632, 0.03948861982352315, 2)","(0.04403288427322774, 0.4412794283290435, 0.24265615630113563, 0.2808957251047879, 2)","(0.31480648166216574, 0.6963989610844701, 0.5056027213733179, 0.2698266298492995, 2)","(0.056212505647522844, 0.668626373172684, 0.36241943941010346, 0.4330419986197214, 2)","(0.558253409905866, 0.927798702074307, 0.7430260559900865, 0.2613079820478686, 2)","(0.5450176720923848, 0.562222982224701, 0.5536203271585429, 0.012165991466978391, 2)","(0.2693758177738936, 0.3154782626914391, 0.2924270402326663, 0.03259935143047571, 2)","(0.3903594390682207, 0.5695988432761473, 0.479979141172184, 0.1267413981712615, 2)","(0.09163618950827404, 1.0, 0.545818094754137, 0.6423102101831514, 2)","(0.14160192194814245, 0.6389431042462724, 0.48120705042925704, 0.21157174683315325, 4)"
A1AQHN3E11IE,3Q9SPIIRWJMYXICSC9ZHMWF79NEAWI,"(0.46507550803536196, 0.595401149579096, 0.530238328807229, 0.09215414489806154, 2)","(0.4682235608278528, 0.8424493238348738, 0.6553364423313633, 0.2646175747169744, 2)","(0.48092362185572474, 0.6901374299426457, 0.5855305258991852, 0.14793650241612277, 2)","(0.3061641894963076, 0.8105346794717802, 0.5583494344840438, 0.35664379369203825, 2)","(0.6165284748460288, 0.6188463808592042, 0.6176874278526165, 0.0016390070600693903, 2)","(0.4548191559358969, 0.7226568811456053, 0.5887380185407511, 0.18938987175336394, 2)","(0.40304591347118485, 0.5030354865235553, 0.45304069999737007, 0.07070330515327886, 2)","(0.5524558985277642, 0.812476262022805, 0.6824660802752847, 0.18386216227393434, 2)","(0.1297715294125096, 1.0, 0.5648857647062548, 0.6153444527340125, 2)","(0.4172920459143439, 0.964531468243769, 0.6909117570790564, 0.38695670646174546, 2)"
AJ7MWBQFNH3E4,3Q9SPIIRWJMYXICSC9ZHMWF79NEAWI,"(0.6350869045864345, 0.7343357477571913, 0.684711326171813, 0.07017953003096236, 2)","(0.09163618950827404, 0.7390615853336596, 0.10521495173810227, 0.3699336834406432, 3)","(0.5305220871549747, 0.8244233347135144, 0.7051855029219138, 0.12109548722304096, 4)","(0.5376409018246964, 0.8388870904650976, 0.688263996144897, 0.2130132227942296, 2)","(0.5963989288227206, 0.8562917581681879, 0.7263453434954543, 0.1837719820119381, 2)","(0.557047978414236, 0.6432024277445623, 0.6001252030793991, 0.060920395350866484, 2)","(0.30751249172024286, 0.469167055192595, 0.3883397734564189, 0.11430703804105136, 2)","(0.5180596080025655, 0.645500875374478, 0.5817802416885217, 0.09011458436168725, 2)","(0.4851178848133934, 0.8260672578005823, 0.6555925713069879, 0.24108761368054277, 2)","(0.44611499059991216, 0.930648893393227, 0.6883819419965695, 0.34261720837993637, 2)"
A2UNRV6PEOEXG0,3Q9SPIIRWJMYXICSC9ZHMWF79NEAWI,"(0.5671687320916967, 0.6610705139677142, 0.589135866960628, 0.03616897650914684, 5)","(0.1791343372035412, 0.7126047597394756, 0.37255279313393647, 0.1925015212567898, 5)","(0.1371694639702946, 0.9648571584702385, 0.5015020037224163, 0.35125413347348866, 5)","(0.11444833244695879, 0.8640074668023183, 0.520153647144581, 0.2827608828867127, 5)","(0.5480654199938683, 0.7611606003349891, 0.710026288387717, 0.08959055281007766, 5)","(0.4440750605884706, 0.7215995158681201, 0.5107267752808742, 0.11020037780026398, 5)","(0.29494729140780945, 0.7254204378043243, 0.46575793908279883, 0.1735143994687704, 5)","(0.14593802798748096, 0.8066526645225908, 0.4893717819916407, 0.24728400977860573, 5)","(0.05537538889831594, 1.0, 0.4239302106381948, 0.33927144865897363, 5)","(0.37903259135181483, 0.6849892179578628, 0.5248205725847482, 0.1090344608436008, 5)"
A36F0LE7SWPASH,3R15W654VDTA947AXRP13LDWFYVQLB,"(0.3972132189519616, 0.8000292075227093, 0.6804907101226052, 0.1855595740250801, 4)","(0.25637075783866836, 0.8426722919315316, 0.6869097686138196, 0.2730040794305279, 4)","(0.4325307727072111, 0.6935202625008967, 0.5147023779993493, 0.1245987187960545, 4)","(0.36710750924459895, 0.6301926291765653, 0.4846922192066182, 0.10888399258867731, 4)","(0.30489707307623143, 0.7476743906106103, 0.523989983082445, 0.15665610767915128, 5)","(0.39421299281634437, 0.6348198930056308, 0.6030730571413818, 0.1307172957670787, 3)","(0.5110785686400148, 0.9526590370649163, 0.7235441748706901, 0.1803835558854762, 4)","(0.5640536646123301, 0.657135279739279, 0.6105944721758045, 0.06581864126006189, 2)","(0.40546144983876986, 0.6871320010100775, 0.5326751309299862, 0.1230204529461148, 4)","(0.5288880422494756, 0.7382767098660679, 0.683254710260746, 0.09825354064742131, 4)"
A2CK8S4CH1HPBE,3R15W654VDTA947AXRP13LDWFYVQLB,"(0.5117913556298358, 0.7197615067630748, 0.6916616714792377, 0.11283802183448972, 3)","(0.6624505997546811, 0.8398935554908421, 0.7479238522499432, 0.08874129604898633, 3)","(0.4335475255590711, 0.4680902692631884, 0.4657518213155497, 0.019303653136919, 3)","(0.38175039005849376, 0.9146912192286945, 0.748747850882334, 0.22526788686482657, 4)","(0.4651429545809939, 0.637084791488129, 0.6067337731525329, 0.09177248997454339, 3)","(0.13423393480752616, 0.6725080050576687, 0.4933833580774676, 0.2263848740031543, 4)","(0.7278033756292867, 1.0, 0.8639016878146433, 0.19247207890861887, 2)","(0.5971347400081823, 0.7805440553286643, 0.7730551756939454, 0.10379712580829652, 3)","(0.5488660121001641, 0.6541068343650149, 0.6014864232325895, 0.07441649908112424, 2)","(0.5804681612919919, 0.6095141355358054, 0.5949911484138986, 0.020538605353970327, 2)"
