WorkerId,HITId,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,prompt_10
A1N34IJ4VY3Y80,3QMELQS6Y5BS2KJ3N28ZJS54LP96RL,"(0.619352595090901, 0.6299703934786846, 0.6246614942847928, 0.007507917241273332, 2)","(0.5457617989180523, 0.631329243272351, 0.5885455210952016, 0.06050532015172713, 2)","(0.6735748043985158, 0.8524094630854673, 0.7629921337419916, 0.1264551998687251, 2)","(0.5066732571810761, 0.5491004867761125, 0.5278868719785943, 0.03000058175360875, 2)","(0.6364617249320834, 0.6930320850381657, 0.6647469049851246, 0.04000128524517573, 2)","(0.556443981836692, 0.6316739171127034, 0.5940589494746977, 0.05319559738189273, 2)","(0.6531643789218768, 0.7431097911940119, 0.6981370850579444, 0.0636010109542464, 2)","(0.6786818623099675, 0.719003097978895, 0.6988424801444313, 0.02851141916731948, 2)","(0.5024543960779091, 0.7913547592495158, 0.6469045776637125, 0.2042834058858994, 2)","(0.4862506321946493, 1.0, 0.7431253160973247, 0.3632756618054652, 2)"
A2701HD66WZ6P3,3QMELQS6Y5BS2KJ3N28ZJS54LP96RL,"(0.6338254735432564, 0.6665584151949381, 0.6501919443690972, 0.023145685010087735, 2)","(0.12245648280392218, 0.3547164274466075, 0.23858645512526483, 0.1642325818548549, 2)","(0.4833854670685279, 0.9894164999496223, 0.7364009835090751, 0.35781797484105465, 2)","(0.5112176083730157, 0.7335918259201694, 0.6224047171465925, 0.15724231718864493, 2)","(0.24210186409977444, 0.34396428396568335, 0.2930330740327289, 0.07202760783525548, 2)","(0.5157115350821027, 0.6394132358992483, 0.5775623854906755, 0.08747031149211314, 2)","(0.13423393480752616, 0.5070077916842105, 0.32062086324586836, 0.26359092204656703, 2)","(0.22838266464578974, 0.49858281561351725, 0.3634827401296535, 0.19106035902690902, 2)","(0.5046640625077293, 0.5606481550884843, 0.5326561087981068, 0.039586731502427336, 2)","(0.7231876973561117, 1.0, 0.8615938486780559, 0.1957358563153563, 2)"
A3MA1SVP12F3DO,3QMELQS6Y5BS2KJ3N28ZJS54LP96RL,"(0.47853578636487193, 0.5463002910485316, 0.5124180387067018, 0.04791674078556333, 2)","(0.32968557853191854, 0.6708168022994998, 0.5002511904157092, 0.24121620160052226, 2)","(0.4209550779957385, 0.8593887047640296, 0.6401718913798841, 0.3100193905880705, 2)","(0.5929632562004762, 0.6152707824310674, 0.6041170193157718, 0.015773803069147805, 2)","(0.1958598294695433, 0.5426139467793203, 0.3692368881244318, 0.2451921877540989, 2)","(0.21883487376965913, 0.42238644632021016, 0.32061066004493466, 0.14393269727168015, 2)","(0.3072595723048812, 0.41904938422309257, 0.3631544782639869, 0.07904733407493598, 2)","(0.4105483718343193, 0.8729168122113152, 0.6417325920228173, 0.3269438595972217, 2)","(0.5538142279874649, 0.789202824946192, 0.6715085264668285, 0.16644487312350303, 2)","(0.29197373212808747, 0.30969681474154453, 0.300835273434816, 0.012532111899504888, 2)"
AW8JVJQNLTXND,3QMELQS6Y5BS2KJ3N28ZJS54LP96RL,"(0.3479731564184224, 0.6259200594063477, 0.49397832254380575, 0.11746544905058728, 4)","(0.3418663366952914, 0.4085307921272454, 0.3751985644112684, 0.04713888850004307, 2)","(0.24655552426210628, 0.6403184702382481, 0.44197689314890615, 0.15134947803541077, 5)","(0.3607442374649342, 0.654486401703464, 0.49309837582960453, 0.1106245232569279, 5)","(0.4145784487598324, 0.6772022642347891, 0.588168521556633, 0.11412121349488837, 4)","(0.33987078567678547, 0.589048917682578, 0.5474970873887401, 0.11567764651910087, 4)","(0.2784278650805049, 0.656182387453082, 0.5525938332681103, 0.17026050316243518, 4)","(0.2490959181659379, 0.848219861937046, 0.444672613971715, 0.25185233567789966, 4)","(0.33905595332890637, 0.7996071129440393, 0.6833302442353412, 0.17307844309552559, 5)","(0.5480254616312641, 0.6627953568839929, 0.5920624270115267, 0.054804393905550065, 4)"
A3GTPW3MYSLMR7,3V0TR1NRVA2MOGT823TYR4WGPUF4AQ,"(0.47436153037963175, 0.6256118460580957, 0.5499866882188638, 0.10695012387284786, 2)","(0.6365692807829748, 0.7180973041407734, 0.6773332924618741, 0.05764901817303465, 2)","(0.7573237977750366, 0.8666415730847504, 0.8119826854298935, 0.07729934022572602, 2)","(0.7287557921168066, 0.7900418408977675, 0.7593988165072871, 0.04333578068514699, 2)","(0.5824880870246069, 0.6360188027707555, 0.6092534448976812, 0.037851932105871205, 2)","(0.4824285792351192, 0.7169337856194171, 0.5996811824272682, 0.1658202216578879, 2)","(0.8110931507628314, 0.938381192717763, 0.8747371717402972, 0.09000623763028989, 2)","(0.7193880495161573, 0.8762205865466945, 0.7978043180314259, 0.11089735044498321, 2)","(0.8326915667169545, 0.9432690607682461, 0.8879803137426003, 0.07819009589028339, 2)","(0.8066412787722097, 0.9569801146205971, 0.8818106966964034, 0.10630561030408593, 2)"
A1LR71IS0QHPK3,3V0TR1NRVA2MOGT823TYR4WGPUF4AQ,"(0.5392992234768399, 0.6476519504181152, 0.5923033072023249, 0.04765067485694123, 5)","(0.5555238068023582, 0.8208359538172102, 0.6903360674515563, 0.11256177801321934, 5)","(0.3410440894587097, 0.656133637141322, 0.5296935034925994, 0.1206216941003642, 5)","(0.38825570880598415, 0.8436437369611961, 0.757356580226373, 0.17659586773360064, 5)","(0.414896913918289, 0.8369528209888764, 0.7102992180127422, 0.16076081068180254, 5)","(0.6471892368478446, 0.8124643758248417, 0.7642011643430779, 0.07763384287778843, 5)","(0.39413278794622614, 0.5646809830057051, 0.515775986940523, 0.07780919022835514, 5)","(0.4452035958895918, 0.7664531667479807, 0.7082442860238546, 0.13261313583580217, 5)","(0.5127237488154178, 1.0, 0.644726789587401, 0.19592301891980302, 5)","(0.5530521818570724, 0.7080402575173241, 0.6232148990070732, 0.0744846889137404, 5)"
AO6B0VEVBGGAP,3V0TR1NRVA2MOGT823TYR4WGPUF4AQ,"(0.537284965911771, 0.7363841239916252, 0.7134293481299251, 0.08791528265478632, 5)","(0.3877345939143174, 0.9296839229329994, 0.654759988806603, 0.22320400132912263, 5)","(0.3813114671801389, 0.9030367221298393, 0.7638882863552487, 0.20370612646326142, 5)","(0.3741569352955005, 0.5839443236502835, 0.4959072939789593, 0.08389433182604002, 5)","(0.3525251100279808, 0.6519534112146771, 0.5166029027838248, 0.12500631688451386, 5)","(0.34701125813212746, 0.6069548573053054, 0.4475448850205262, 0.11968339505653616, 5)","(0.27553962966599427, 0.9296839229329994, 0.6558900381993462, 0.23394082789312756, 5)","(0.039812030418083365, 0.7812604801812733, 0.6793867318229367, 0.30993489459711865, 5)","(0.16451929399933107, 1.0, 0.6449789038330659, 0.31186791947337794, 5)","(0.39237746085102826, 0.8497368148167936, 0.5023534288918954, 0.17440213105598137, 5)"
AAWEZ0V7TKCK9,3V0TR1NRVA2MOGT823TYR4WGPUF4AQ,"(0.08665626144573817, 0.5834147948522637, 0.3446913316729032, 0.21265494973649413, 5)","(0.543623764565051, 0.6385419359753854, 0.5715883910047787, 0.03774002396834882, 5)","(0.5318989705323345, 0.710526339586962, 0.5956421964346988, 0.07892865088880643, 5)","(0.34344368522935126, 0.9175201129940924, 0.43949286988774516, 0.24174313760434712, 5)","(0.5283385150210982, 0.5763522528931069, 0.5560541092463366, 0.02057140566049948, 5)","(0.39292384191895224, 0.6724799119020188, 0.5119947503914266, 0.10015274963537277, 5)","(0.42620388740330456, 0.7227378103009302, 0.6667086653859141, 0.12694731980159055, 5)","(0.23485955022989216, 0.7175274444746631, 0.6584831092567432, 0.21914932966779122, 5)","(0.3624452645165378, 0.8062138990457659, 0.5524114044416475, 0.17573366945880492, 5)","(0.3212580423645057, 0.8463052993843323, 0.4972708744937956, 0.20640951021962767, 5)"
A3BWB2PMOZY5MP,3TRB893CSJAKHUOUQ1JFQ2RTERIG7Y,"(0.2603503564697352, 0.5874845243023421, 0.4239174403860386, 0.23131878843225448, 2)","(0.45575494739683237, 0.5208202637221087, 0.4882876055594705, 0.046008126393650636, 2)","(0.3839908069057272, 0.8134452408640837, 0.5987180238849055, 0.30367014246258417, 2)","(0.5887673188598302, 0.8626751460052914, 0.7257212324325608, 0.19368208199462827, 2)","(0.6783649410961788, 0.76688511740443, 0.7226250292503045, 0.06259321693939315, 2)","(0.7155696432986561, 0.7392479663847693, 0.7274088048417127, 0.016743102821316604, 2)","(0.3329766186807085, 1.0, 0.6664883093403542, 0.4716567561408513, 2)","(0.30413477129573135, 0.7096837133516949, 0.5069092423237131, 0.28676640703080203, 2)","(0.340971098129945, 0.367107509244599, 0.354039303687272, 0.01848123353505128, 2)","(0.2528736302818875, 0.7474563721560402, 0.5001650012189638, 0.34972281063704924, 2)"
AB8KB8IYHVPAM,3TRB893CSJAKHUOUQ1JFQ2RTERIG7Y,"(0.3114637779265809, 0.5528787506540092, 0.43217126429029507, 0.17070616429552993, 2)","(0.13282894889520955, 0.953791199526754, 0.5451087893190223, 0.3091099877338607, 5)","(0.41965971352197884, 0.731955173224918, 0.5889462394713257, 0.11356816211226972, 5)","(0.31226265290466737, 0.9306048591020996, 0.6450001140844254, 0.22234873961200463, 5)","(0.09394296314462644, 0.8745115898958654, 0.5735294670783607, 0.28324568959081753, 5)","(0.6337317075100639, 0.9214260528373085, 0.7724831524949815, 0.13184703762960656, 5)","(0.32743129582216096, 0.6944845613840563, 0.5488460968599072, 0.1521909837422686, 5)","(0.4833893577923903, 0.8181054489863915, 0.7478123079397926, 0.1597610329986012, 5)","(0.2527452562240639, 0.4272870063962341, 0.340016131310149, 0.1234196551469098, 2)","(0.5182286755586162, 0.7780886794906843, 0.5413456233964559, 0.14382216422243294, 3)"
