WorkerID,AssignmentID,Prompt1.0,Prompt2.0,Prompt3.0,Prompt4.0,Prompt5.0,Prompt6.0,Prompt7.0,Prompt8.0,Prompt9.0,Prompt10.0,Median,Size
APF1EAZT104LQ,"['36TFCYNS458ZRYFVJ3DR13BDLWJHX9', '31Z0PCVWULDVHS0Z1KQILN1DUYE7TV', '3Z7ISHFUH1TV3IEHHH76LBYPQE48ZX', '3R2UR8A0IBE9JF1ING8HLC8EXIXOX4', '34MAJL3QP5LTZOKMK7MK0YD59XB43R', '3B837J3LDPU4KB7ZLYJYGZWRTRTRSO', '3R9WASFE20E4IXO4PVDCV3FBDH7ZFT', '33F859I567BSEVCUE7L9C6KL2UAHBH', '3TMFV4NEP9CR9N9C6UNZM7479C28W9', '38YMOXR4MVX459QODFQ12T8G3HBW6A', '3NPFYT4IZD2LR2KKZXV9G3ZC6W8GXB', '3KOPY89HM90J2637NE9O602ORU0J3W', '3AAJC4I4FHQKNZA08L4XA1736PXJZR', '34V1S5K3GTZTTDDGK4G9O9055GO96V', '3QXNC7EIPJTYF2R1IF0SF8QESCS90I', '31HQ4X3T3T8THDCMGEM2UNNSNZ5SL0']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,16
API7K4R8MF7VD,"['3G5F9DBFOQV7N9A0JOC9DIES5LCHV7', '386PBUZZXGV0IATWTKDO2MW5RFFJLW', '3B837J3LDPU4KB7ZLYJYGZWRTQJSRD']",2,2,2,2,2,2,2,2,2,2,2.0,3
A1T2RXUZCV7JB9,['3R0T90IZ1TAXO49P81ZM2QE25F3GCU'],5,5,3,2,2,2,2,2,2,2,2.0,1
A2QBZSOSDTUM8E,['3P4RDNWND64YS9LQ8HGBA64DABKIJG'],3,3,2,2,3,2,2,2,2,2,2.0,1
A32V4AOAMSDK2I,"['3137ONMDKH3CL2T34S5HSEE5QR5EGA', '3R6P78PK7L9EALB0UNUCR0E6T0RGTZ', '3TPWUS5F8AZTLQZPN634OT0QZ3ICWE', '3P529IW9KZJKD870AUM3NO4DY85FLW', '3DI28L7YXBCFHN30M9KELRAZO2M1EX']",2,2,2,2,2,2,2,2,2,2,2.0,5
ALAEBEEHK525U,"['32UTUBMZ7HUXWW7EJW2DR7BUA87VB5', '382M9COHEIDVQKUYOXUYWTFWZYBEUZ']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A2YY9CKRJLL113,"['3RKNTXVS3NWTJ9J7TM1UN6RBF6SA4G', '3CCZ6YKWR8HXA9D2FL64W3M59K9595', '388U7OUMF8Z4J2NNCW0E6TQ8YYYR0N', '3QL2OFSM97G3YWQBV5CHSANZ6Q9NCR', '38YMOXR4MVX459QODFQ12T8G3G46WB', '3DQQ64TANHJCFF8TSBPA8TZXYLQWP3', '3R9WASFE20E4IXO4PVDCV3FBDH7FZ9']",2,2,2,2,2,2,2,2,2,2,2.0,7
ASI6KXF2GAUTQ,"['3R5F3LQFV3IYOA1XOYW2IXOP5I0OZ6', '3Z4XG4ZF49P6YNE2GZJLOQIEIDW8XO', '3NPI0JQDAP3KNY4ZX6KZL9SYUR8TPA']",3,2,2,2,3,2,2,2,2,2,2.0,3
A3IDG9C18BCATK,"['3F1567XTNX3M3VW0ZDU7UEHW5GPQ9W', '32EYX73OY17KZOZ3A3EYV0EFEN1URS']",3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2
A3R02JGZB9ORV0,['37XITHEISX7ODUI3OCTY1US97OGRC3'],5,5,5,5,5,5,5,5,5,5,5.0,1
A3R301793RRW5E,['3TVSS0C0E2YA77109SYUD30UNOHWTE'],3,3,2,3,3,2,4,3,3,3,3.0,1
A2TKHXY755FAM,['3VFJCI1K40X1U6Y8QYPHRLDO5G0RG5'],4,3,2,3,3,3,2,3,2,2,3.0,1
AUMFIVVEEU78M,['3RU7GD8VPPRJ8YRK86F9B4WCS96PSV'],5,5,5,5,5,5,5,5,5,5,5.0,1
A3BAQWRXME72J1,['3XLBSAQ9Z5AR349Y7CF07B2UFU27ZD'],4,2,3,4,3,2,2,2,2,2,2.0,1
A35RQ59OLMDZFH,"['304SM51WA42H44QAP1X8GKRNB4FBSI', '3VW04L3ZLU4WDOFAO7VD4PZ79M5XXL', '3DBQWDE4Y7WIZBHWGVP9E4HPE9O5N2', '3SNLUL3WO5L9WQ4Q5JH29O5G8VBUL1', '3FTF2T8WLSGRNSSMBMTDM3ZITHDW9D', '3PPTZCWALRI19MED3BO672JPKJEZQL']",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6
A13WYZ8AXD6ODX,['38SKSKU7R2V4NZ9QB2SOQLH5E14ILZ'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1U3OIZTWRI8JD,['3L70J4KAZHK6J520MX2NQALHSKXDAA'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2J8CTUSZ8IHUV,['3TPWUS5F8AZTLQZPN634OT0QZ3QWC6'],3,2,4,4,3,4,3,3,3,2,3.0,1
AYNUK54JG6E2H,['39RP059MEIRE69D5541M4BSHJGIBMT'],5,5,5,5,5,5,5,5,5,5,5.0,1
A105K8XW0ZZ7AF,['3AQF3RZ559G2UN4TNQG1Y5MG8D7F6F'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2NOBB0B070PIR,['3TXWC2NHN0OYGBBDRHJCPEWXN5T9SP'],5,5,5,5,5,5,5,4,5,5,5.0,1
A3KHSD6AHN8TWB,['3A1PQ49WVIFR1XU2CASK6U7CGIZ1HY'],2,3,2,2,2,2,4,2,3,2,2.0,1
A12KBRXJJ8IZCR,['32ZKVD547GLDKN5VZMW78CJBJOJB3T'],2,3,3,3,4,3,2,3,3,2,3.0,1
A2YMT7CKQNSRIR,['3YMU66OBIO6O5CK5UTDNDHBII73GHY'],5,5,5,5,5,5,5,5,5,5,5.0,1
