WorkerID,AssignmentID,Prompt1.0,Prompt2.0,Prompt3.0,Prompt4.0,Prompt5.0,Prompt6.0,Prompt7.0,Prompt8.0,Prompt9.0,Prompt10.0,Median,Size
A2TZAXWOB3JMNV,"['3Z4XG4ZF48R1PELWFIGQG8J8GV8X86', '3Y4W8Q93LZKL2KCSWBQOEF0OBB1DVT', '3NXNZ5RS1AX7O4YF2XI6M51VY8T79S', '33PPUNGG385WCE07F9AB4AUOENURZ9', '3BDCF01OGXUL4QVPE3BW4RCN21IYLG', '3OJSZ2ATDSWONHW3Z75PAPWTCCW75N', '3FDJT1UU748CIW3NI1UYEU1FIWW5KR', '3QY7M81QH7MR50H66U9VCEFB92RK7L', '37UEWGM5HT8ZHIFZ7Y1JCGAC18L1RY', '3HFNH7HEMHEW9WQ2C2XMED4D7B1QGL', '3OJSZ2ATDSWONHW3Z75PAPWTCCR57G', '3X4MXAO0BGOSIJV24MQ45606XL7RW0', '3EKVH9QMEY4C5TEQ816DCA3DED22D4']",2,2,2,2,2,2,2,2,2,2,2.0,13
A1MJJHFEKOGUIU,"['3A1COHJ8NJV43OLHAEY4DMVES5UH82', '3KIBXJ1WD5UYQ695NGQXN016ZREOKS', '3V0Z7YWSIY0YZAECZM67IW9KEKD2VA', '33LK57MYLT58DT0KUYAGUKZK0QDSZ0', '3VBEN272MKZ8MC5F46MR9DJEP0PGS5', '3B3WTRP3DB202319WL1BQEKNNSS29S', '3WMOAN2SRBXUOW35L54RAKCIPFHVN7', '3X4JMASXCM9CUMDSFIBTYWMYEU00B5', '30X31N5D63Q7CLSCI6UHDR8BR4ISA9', '3CTOC39K37QWUGBOO99JBZFYUD27JK', '3JJVG1YBEBXBPTZTCOH5FRIPV2W5BG', '32EYX73OY09FQF6X9MB3NIF9C6KURU']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12
AO6B0VEVBGGAP,"['39GHHAVOMFRZBTT5MBBC8NVO3BM4J7', '3CN4LGXD5XOP6IO48BCFIAACGFQ4YW', '3LRKMWOKB5HF8UJM0JVA32MG2V32ZU', '34S9DKFK73PBSQYAQGRBHJGC7XWNYN', '3VHHR074H3H2P6ZORULWRESQY2IL7B', '379J5II41OGNYLEYE2Z2XOK7KQSELY', '3QXNC7EIPIVT6TYVHYXX7QR8QUX904', '3Y9N9SS8LYB1QBA9C1KIVK85KS93DP', '3LS2AMNW5FQK19700LAUJMDFYYMQO4', '3CFJTT4SXTQ0Z5RI6ROJZY0YHZVI73', '3ATPCQ38J8A4874LHCM6VDWC8Q9AY2', '34FNN24DCM9721S4MGVPN2GQGBMY5W']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12
AS5X6GRDJKWG3,"['32AT8R96GL9RRU6AOBB8DSK5Y8YUSD', '3T3IWE1XG6N0E1C8W2WTDWJ2X68QTV', '36PW28KO4ZW622NUHBACOA4WQEXAEG', '3OLF68YTN91Y8GNQCMUI6SPW2F9AFV', '3IUZPWIU1O76VFI7E2H74UES2UXKWM', '3VELCLL3GKJ2ESAQG31PVRWTYL1F1A', '3MRNMEIQW56I6F0YI7OIR62MKERDL4']",3,3,4,3,3,3,4,3,2,4,3.0,7
A27AK750Y9M9KH,"['3VJ40NV2QINXTPZSHP4PORO2I4STOQ', '33L7PJKHCGYU8XCCA8FTR5Y23ZO8T2']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A394JO4NEPCY3M,"['3GNCZX450INAZTCKQPQNIM304KAPAP', '3PW9OPU9PQKIDYYES8MIB824PGD12R', '3OVR4I9USPJGXGXIH1VL5O7AH6E4QY', '3HYA4D452RJ93DSMZ7130A6YQQWF26', '3M1CVSFP605VZ5DZQ25CIRTA9GZQAK', '3LPW2N6LKT2QLS8ZCFY0KHADKNO5UI', '3H7XDTSHKCR1TTMOOBWS62MZVCQWG3', '308XBLVESI40UGXR9VU8ISNLNKCRB7', '3NGI5ARFTT5E55ZKU6XU7LAX0Q71PG']",2,2,2,2,2,2,2,2,2,2,2.0,9
A3GTPW3MYSLMR7,"['3VZLGYJEYLAG9AMJO8G3TSGCF4VZXT', '32SCWG5HIH49CR0H0C9B2H1E81I6PE', '36NEMU28XFD1L3IAZEUNJ76WRY6WMF', '3RSDURM96AM7YKLXXHOSRWM3T48EY0', '3OLF68YTN91Y8GNQCMUI6SPW2ERFAG']",2,2,2,2,2,2,2,2,2,2,2.0,5
A2CSV75E3JT58Y,"['3XLBSAQ9Z4CMUVGS6VC5ZT3ODB0Z7I', '39GHHAVOMFRZBTT5MBBC8NVO3BZ4JK']",2.0,2.0,2.0,2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2
A3ESTJCYXNAS14,"['37Z929RLG98CRHRLO6LY8WY3FTSTSK', '3F1567XTNW5HUM3UYWRCMWIQ3Y6Q9U', '3VA45EW49NNWK5NJF6KFIL57QM11OR', '3FIUS151DV25W7WO96SAKZ0B1PWGGM', '3QAPZX2QN4DI69DWWPIIX3JUKO520N', '3Y4W8Q93LZKL2KCSWBQOEF0OBCZDVT']",4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.5,4.5,4.5,5.0,6
A3DYCWVN5J8D2A,"['3U84XHCDICDPB8Y94XEYWHJEM9H4ZA', '3XC1O3LBOSMPN4WV4XOXWAK8NZLLTZ']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2
