WorkerID,AssignmentID,Prompt1.0,Prompt2.0,Prompt3.0,Prompt4.0,Prompt5.0,Prompt6.0,Prompt7.0,Prompt8.0,Prompt9.0,Prompt10.0,Median,Size
A1N34IJ4VY3Y80,"['3IQ1VMJRYTKP76WD90UQWW3LZGN9A9', '3ITXP059PWJIDEVGCC7U6QBUHR8SJL']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A2701HD66WZ6P3,"['3FPRZHYEPY7NKSAV3MKC16ECKYNV3O', '3DPNQGW4LLFNNYEY2SHNZJQJH5R46Q']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A3MA1SVP12F3DO,"['34HJIJKLP5W82OTZ30PVBB6IYYM4VL', '3MH9DQ757WCO1PXJTBHROE12AWMGUV']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
AW8JVJQNLTXND,"['33NF62TLXJ2KPVI873YSF4KK0YJJKL', '33F859I566DN5MJODQIE4OLF0CGBHY']",2.5,4.0,4.5,3.5,3.5,3.5,4.0,4.5,4.0,4.5,4.0,2
A3GTPW3MYSLMR7,"['3ZDAD0O1T1DKNYDKIGRL74FVU80TXY', '3TE3O857308663XVQ21XHZKHTE62RN', '3DHE4R9OCWBFHDOHAR7LIV6AR53G2D']",2,2,2,2,2,2,2,2,2,2,2.0,3
A1LR71IS0QHPK3,"['3LQ8PUHQFLSXSUXUJ0AVQBPSV2THI6', '3WYP994K17R3L5SIRZ5UF8UQC7FY6W']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2
AO6B0VEVBGGAP,"['3ATPCQ38J8A4874LHCM6VDWC8Q3YAK', '3FFJ6VRIL1OMHURYLS3AKJQB9KI0IC', '33CKWXB73JKBODGI94M46PSZXBO111', '3S4AW7T80BI56JH5PWNPO28G70WL4V']",5.0,4.0,3.5,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4
AAWEZ0V7TKCK9,"['3WQ3B2KGE8GC1BYAB1FTC158JNM1BR', '3M1CVSFP605VZ5DZQ25CIRTA9HSQAF']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2
A3BWB2PMOZY5MP,"['3R8YZBNQ9HIDG3F1JZTS80RK88J7Q0', '378XPAWRUCDII7PGDU039P2OI6CAIV', '3W92K5RLWUHQY7XZH585G3CWYUB5VL', '3S4AW7T80BI56JH5PWNPO28G705L44']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4
AB8KB8IYHVPAM,['3B3WTRP3DB202319WL1BQEKNNST29T'],5,5,5,5,5,5,5,2,3,2,5.0,1
A1MJJHFEKOGUIU,"['392CY0QWG1R3GI9Z4TQCWMGOQWJ4IH', '32EYX73OY09FQF6X9MB3NIF9C5VUR3', '3VSOLARPKB9PNLXS0LFG9OPFT6193J', '3OS46CRSLFZMHBXDMOIA89QWUQGV6N', '3PIWWX1FJJ6PEBCQPIYGEPK7L80JJ1']",2,2,2,2,2,2,2,2,2,2,2.0,5
A5LHSOGLCLMJA,['3JJVG1YBEBXBPTZTCOH5FRIPV2L5B5'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2TZAXWOB3JMNV,['3570Y55XZPJ5IYHO3CEGRZ7F6KIYGW'],2,2,2,2,2,2,2,2,2,2,2.0,1
AXTFSJDN2YLO5,"['3OVHNO1VE612B4H2X8FRZLDKZMBZDJ', '3STRJBFXOWRE3YEDJXCWHA7TYZ7TKV', '3PZDLQMM0TL2018C85B2S4LVTDE2CS']",2,2,2,3,2,2,2,2,2,2,2.0,3
A4LODOUXKNZY0,['3A1COHJ8NJV43OLHAEY4DMVES51H89'],4,3,3,4,4,4,3,3,3,3,3.0,1
AGUF6B4Q9991D,"['3FTF2T8WLRIMEJZGA5QIEL0CRZW9WQ', '3J4Q2Z4UTY3S6IG2R7140GQ110NQWI', '31HQ4X3T3SAO84JGFXJ7M5OMLHASLM', '39GXDJN2OTE9LPG1F3F8SNMN0LZ8VF', '3IAEQB9FMEKYH9CXMLVK0HJ2IK9WDS', '3Z2R0DQ0JHEHXZSQ4WHXISLYEQ3E2B', '3E337GFOL98B6ZDAWA55AJ9821ANGT']",2,2,2,2,2,2,2,2,2,2,2.0,7
