WorkerID,AssignmentID,Prompt1.0,Prompt2.0,Prompt3.0,Prompt4.0,Prompt5.0,Prompt6.0,Prompt7.0,Prompt8.0,Prompt9.0,Prompt10.0,Median,Size
A2XY6KDQKMSL9D,['33TIN5LC04AQ3OUGP686ZILS1N09YO'],3,2,2,2,3,2,4,3,3,2,2.5,1
A14QGS6XH65BGQ,"['3TXD01ZLD4H8P94ZYAFQFP4ZJ7I4UW', '3MD9PLUKKIEBXG8FM2TUVQPEC7ANZJ', '36V4Q8R5ZK0W16MON5VHRIOA2EAMQJ', '3URFVVM165IOS6SOJ35G9LH8K8TZUN']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4
AO6B0VEVBGGAP,"['3HUTX6F6VUN39Q5FYAKTN4FCH8DO2O', '35H6S234SA05JHIYGX0X4BWXGI756E', '3OHYZ19UGC5SET0JBPD8TMYATV3OAR', '3DOCMVPBTNEHGRUWJEI003I52U5NN7', '3TK8OJTYM1LURHFI1KHJE9HDOBPVP7', '34FNN24DCM9721S4MGVPN2GQFUHY5S', '3HWRJOOET52A2Y9OYBW39AY2B0PESW', '3IQ1VMJRYTKP76WD90UQWW3LYWT9AA', '3LRKMWOKB5HF8UJM0JVA32MG1C0Z2L', '3CFVK00FWLLJL6LJ8KG4L0SU28S6LO', '39ASUFLU6X7IYFVNSL2Q8IFUQFUXEQ', '32SVAV9L3F93S47XSRTG5J0ZY4BA3M', '3RXCAC0YIRPQ3SQ6Q8GMSMJDCN5G8P', '3PH3VY7DJLX1KAHTE3KHR9255LWZW8', '34Q075JO1XDBHOV0DLI4SK9PR1X01B', '3GDTJDAPVUBQV2MS1BEH5R3A89XM8J', '3GDTJDAPVUBQV2MS1BEH5R3A8AZM8N', '3ZSANO2JCF728C9KTMG9RSJ2N0ZFS8', '3L6L49WXW0XR4UEKX97I7DCJKTG54C', '3FTOP5WARFOIC5B43AOAWK5BLFR0J3', '3X0H8UUIT1O4JYVFJBQ9VG52I3EWSC', '320DUZ38G7MFN9MPHCDDHCSRSXBJGM', '35DR22AR5DKFOHFQ31LUPRBXZPU3XT', '3C2NJ6JBKAHLR553XVKG8FF7RY42NJ', '3WRFBPLXRAOACN1M1VYLRPKZXC3N3E', '39O5D9O87TSRLJ4VC5P7BEQNY8X3CK', '3NKQQ8O39Y5LP5NSRLGJITY5WLNUDD', '32Z9ZLUT1LK7OG8XHVN0A8LE6SQOH3', '36W0OB37HWEJNKM4J4YHQ6SIQUMZH5', '3EWIJTFFVO7A1PPCP9DJZ4SJG7Q0ED', '3GFK2QRXX9H3DWX47FD125VA4JK5WX', '3OXV7EAXLEQ252VU2EC4PEYD2OF36P', '3IFS6Q0HJIJMI3BAUUMUUPWU3TYISB', '39ASUFLU6X7IYFVNSL2Q8IFUQGHEXW', '31QTRG6Q2TDBVBAN6V43L8L76SIPY1', '3YMU66OBIN8JW3RZTCAS5ZCCF5FHGN', '3OS46CRSLFZMHBXDMOIA89QWT5UV6U', '3BEFOD78W6TPC1ZQP8O4OFN56MRM40', '3EG49X351UCEL028M3JSWUNH9ID6XN', '3FPRZHYEPY7NKSAV3MKC16ECJH7V39', '3WETL7AQWT86MYVGXV2ZX8KD6Q4535']",2.2926829268292686,2.2926829268292686,2.2926829268292686,2.3170731707317076,2.2926829268292686,2.317073170731707,2.2926829268292686,2.3170731707317076,2.2926829268292686,2.2926829268292686,2.2926829268292686,41
A3394SNGRL8D4C,"['3YZ8UPK3VTMBKDHERPL8YNGNBMUCUG', '3KKG4CDWKIYA5HGW0ZKZJTHL6NO94S']",2.5,3.0,2.5,3.5,2.5,3.5,2.5,2.0,3.0,2.5,2.5,2
A2ZMFEMAI9NIA9,"['3NQL1CS15R8O0V7JS7D2R0APSIRVY4', '3JC6VJ2SABJ66JU16AH9KGYJC4UA5C', '3QUO65DNQUOCT2EHHUUZTNA4024UOQ', '3QILPRALQ5VWDK7SDCTHI6SAD1VN8C', '3DI28L7YXAEA8EAULSHJD9BTL24E18']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5
A7J89OYQI6PUA,['320DUZ38G7MFN9MPHCDDHCSRSVMJGT'],2,2,2,2,2,2,2,2,2,2,2.0,1
A9RIPO4QJ0Z04,['3K4J6M3CXET4MGJLN600ODP829JGA3'],5,4,3,5,5,4,5,5,5,5,5.0,1
AJ7MWBQFNH3E4,"['3EG49X351UCEL028M3JSWUNH9HOX6N', '358UUM7WRZ3DS4U1WEISDQ1P3CM7R1', '3WETL7AQWT86MYVGXV2ZX8KD6RV53Y', '3EFE17QCRC5MM80QOC49UDVF3H8SHJ', '3OONKJ5DKCJXX35BH3D4OXIGBIGBOB', '3D8YOU6S9EKM4W8DHY85CNODF0C6UB']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6
AHQ4XY8PP5EGS,"['3FQ5JJ512LOG8L9TM1QK8B118Z3KN2', '3QRYMNZ7FYHFB4ZGGA4C92OXRBGTN1', '3PWWM24LHSY0OYIZRTVXQIPC236822', '3RRCEFRB7MCTTAVTYJYVAZCBUM44B8', '3JWH6J9I9SDFFI5ZGODR98IBL3UNBH', '3VZLGYJEYLAG9AMJO8G3TSGCEK0ZXT']",3.8333333333333335,3.1666666666666665,3.8333333333333335,4.0,3.0,3.1666666666666665,2.6666666666666665,3.5,3.8333333333333335,3.5,3.5,6
A4GXHVTRGW5P8,['32AT8R96GL9RRU6AOBB8DSK5XMGSUK'],2,2,2,2,2,2,2,2,2,2,2.0,1
A524WZ3LA2L2K,"['3IXQG4FA2TYUQG15FEUMR7NRGDVB9M', '3KIBXJ1WD5UYQ695NGQXN016Y7AOKJ', '3KB8R4ZV1E795QODTK0WJO9EKQNBGA', '3QAVNHZ3EM4K88XMYXXG15UGYQ8AL6', '3X4MXAO0BGOSIJV24MQ45606W1XWRQ']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5
A1JORZPYSL5A7P,"['34X6J5FLPTY60YG3K8IPBQWTYJBJQ6', '3U5NZHP4LR2P9GKYWV0FZ8Q4GUHHP2']",2.0,3.5,2.5,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.25,2
A2B7P6AGJ2J4FH,"['3BC8WZX3V3WNANEG5SGYI7SP4MXRRX', '3TMFV4NEP8EM0EG65DK4EP516A6W8D', '3MMN5BL1WZ44U5GMPUJLEAVZSLI3MH', '3R08VXYT7CVI00BNV8SY0P96VQYW7O', '3IOEN3P9S7J6VZHFFAYL1LJG41R61K']",2.2,2.2,3.0,2.2,2.2,2.2,2.6,2.2,2.6,2.2,2.2,5
A2ITLLWVR819O3,['3E13VNJ1NNVMOJCGHB7AYO9LDSL1I8'],5,5,5,5,5,5,5,5,5,5,5.0,1
A1P5A9KCO7WQZE,['3K4J6M3CXET4MGJLN600ODP8295AGJ'],3,3,2,2,3,2,2,2,2,3,2.0,1
A2WVY1WO8EBV8V,"['3CFVK00FWLLJL6LJ8KG4L0SU28T6LP', '3XUHV3NRVKYLG62FCGR112LNPW35HV', '3IUZPWIU1O76VFI7E2H74UES1CVKWJ', '3ZAK8W07I4ERQLMYF9SO3MEM2XHU0P', '3V0Z7YWSIY0YZAECZM67IW9KD2KV29']",2.0,2.0,2.0,2.2,2.0,2.2,2.2,2.0,2.2,2.2,2.1,5
A246JUOW5MUSPV,"['3A0EX8ZRN8O9RH9DNQM2QOGIPODYBZ', '3HRMW88U16Q8DDHP6712CCXSPA1M0A']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2
A1EL3FI6DJV5WR,['384PI804XS1BB8UUQ4XOOLWYHYHS0O'],3,5,4,2,3,3,3,3,3,3,3.0,1
A2KAGFQU28JY43,"['3PEIJLRY6TTCFFHEDLWWUOMUXK3WXB', '3LQ8PUHQFLSXSUXUJ0AVQBPSUJHHIR', '3SITXWYCNV9KRCJ3IU007A99NJ2XBD', '3DPNQGW4LLFNNYEY2SHNZJQJGMA466']",2.5,3.0,3.0,2.5,2.5,2.75,2.25,2.25,2.5,2.25,2.5,4
APF1EAZT104LQ,"['3TXWC2NHNZQT72I7Q0GHHWXRK5PS9K', '3QEMNNSB2XZJRUBWEDN881KLOC8D7G', '3L6L49WXW0XR4UEKX97I7DCJKUF45C']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3
AFIB5BRZVGGCT,"['3E13VNJ1NNVMOJCGHB7AYO9LDRM1I7', '3KGTPGBS6XLYMVPCUWW2MA71ZUM2U0']",4.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.0,4.5,5.0,2
A394JO4NEPCY3M,"['3U088ZLJVKT4IPB3A97PLAZJNCG0WG', '37M28K1J0QDEDI9MVCL3LQHOU2VAJY', '3U8YCDAGXPGZYSFHY08JTLHXZBWQ0Z', '3IAEQB9FMEKYH9CXMLVK0HJ2H1LWD1', '3FUI0JHJPXY38J8CJCE6IBMTSU3333', '374TNBHA8BVWVNB268JSLDBHBO9YQ6']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6
A214JTAHTAWUKA,"['32RIADZISS4SAWCV95KQ0OMBYDAS4N', '3X31TUMD7XMOEKKM2E4NQ41DUXDL16', '32N49TQG3GIN4D9GC1ZMOESIPPPAV6', '3R8YZBNQ9HIDG3F1JZTS80RK7PSQ7P', '3NS0A6KXC485NORTZYGZ56GHBXIGZ2']",2.6,2.6,2.6,2.8,2.8,2.6,2.6,2.6,2.6,2.6,2.6,5
A1Y0Y6U906ABT5,['3PH3VY7DJLX1KAHTE3KHR9255HOZWS'],2,2,2,2,2,2,2,2,2,2,2.0,1
A2RXPHOE9V9634,['3S4AW7T80BI56JH5PWNPO28G6FLL4D'],2,2,2,2,2,2,2,2,2,2,2.0,1
A2551DKGKGHJHB,['333U7HK6I9FCBPCYFMC5BRPUF4DDJM'],2,3,2,3,3,2,2,2,2,2,2.0,1
A1PYMROZ75S4FW,['3ZR9AIQJUB9S9NSJ0316QIGS3JE40V'],4,2,2,3,2,3,4,3,5,3,3.0,1
A3SHFOPG16PGNX,"['3TE3O857308663XVQ21XHZKHSY02RK', '3RU7GD8VPOTEZPYE7PCE3MX6P6MSPO']",2.0,3.5,2.5,3.0,3.5,3.5,2.0,2.0,2.0,2.0,2.25,2
A1815TOQ1PZ7JH,['3L2IS5HSFAIUBHE5GFUMEYAZAOXUN1'],5,4,5,5,5,5,5,5,5,5,5.0,1
A1WU3W1JZ58D1U,"['3YHH42UU5BFO7VZ46V0NCZI3P4W0L5', '3BC8WZX3V3WNANEG5SGYI7SP4MSRRS']",3.0,2.0,3.0,2.5,2.5,3.0,3.0,2.0,2.0,2.0,2.5,2
A2WCCV1W8UE8ED,"['3H8DHMCCW9B7M9IGX7CHC6P7UTCKDR', '3X4JMASXCM9CUMDSFIBTYWMYDAT0BT']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A2LLCKZ1G0JG5E,"['3LKC68YZ3A3PL63MCU90BBV1LDMWOO', '354P56DE9K3PTJUEB3IX306LPBTS7S']",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2
A11IKOH66UKKBP,"['354P56DE9K3PTJUEB3IX306LPBMS7L', '3Q5ZZ9ZEVOFSNV1M9CXVOPSOMCW58X']",2.0,2.5,2.0,2.5,2.0,2.0,2.0,3.5,2.0,2.0,2.0,2
A1TICE0HGSHQQ7,['3SUWZRL0MYD5F0BRRYT0852ATADE6T'],5,5,5,5,5,5,5,5,5,5,5.0,1
AGXCUIUSIXBVM,['3ZQIG0FLQEGKBQCJD6VE63P9H7ZVW7'],5,5,5,5,5,5,5,5,5,5,5.0,1
A3GNQDFPZALU92,"['30X31N5D63Q7CLSCI6UHDR8BQKUSAG', '3WSELTNVR328RL5R76Z7NW4XS35TA3', '3L2IS5HSFAIUBHE5GFUMEYAZAOOUNS', '3DOCMVPBTNEHGRUWJEI003I52SONNM', '3TS1AR6UQQEGPEPS5JIYW1N60MOF7N', '3GS6S824SQX73L3ABF9NWMVWV46NWR']",2.6666666666666665,2.8333333333333335,2.6666666666666665,2.5,2.8333333333333335,2.8333333333333335,2.5,2.8333333333333335,2.8333333333333335,3.1666666666666665,2.8333333333333335,6
A2Q1JUSJ9THUDZ,['3DPNQGW4LLFNNYEY2SHNZJQJGPH64L'],3,2,3,3,3,2,2,3,2,2,2.5,1
A1ABCSYKUYVIDW,['33PPUNGG385WCE07F9AB4AUOD89ZR1'],5,5,5,5,5,5,5,5,5,5,5.0,1
A27D010QJJWA4B,['3EA3QWIZ4IVNX3OPJURK4USG5HLITJ'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3IQ9V1JSB2RJO,"['34YB12FSQYO5OHSAK9Q5X4K8WPNMG6', '32VNZTT0A74G9HCIUGKLAEHFC79R48']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.0,2
A29E6WOYZHSF3F,['34QN5IT0TZRTSOFLC6RJ7UWX55A806'],3,5,5,3,4,3,3,3,3,3,3.0,1
A3SO14V87KVRRY,['3JC6VJ2SABJ66JU16AH9KGYJC4YA5G'],5,5,5,5,5,5,5,5,5,5,5.0,1
A1ARY2P1UWNNRD,['3PS7W85Z8Z2UM2VMF0L7R1TDMP5T9E'],2,2,2,2,2,2,2,2,2,2,2.0,1
A260POHT3YB1L0,"['3JV9LGBJWTETOKDMXP5IP89DRQFGOU', '3SUWZRL0MYD5F0BRRYT0852ATA4E6K', '38F71OA9GTWZAHWF9PKNFJKWVBWFMB', '3SNLUL3WO4N4NHBK42E7166A5SJULJ']",2.75,2.75,2.75,2.75,2.75,3.25,2.25,2.75,3.0,3.0,2.75,4
A1P06VR3V0T998,"['33SA9F9TRXU39FQXIG646Z1NHC8WEE', '3S0TNUHWKTINR8GFOIFEM1GGZT3D8M', '3OXV7EAXLEQ252VU2EC4PEYD2LP36T']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3
A3C690DKDVWPLQ,['3L4PIM1GQTGW7OQ2JN8SQ3LM798YR2'],2,2,2,3,2,2,2,2,2,2,2.0,1
A8PMQPVGA1CY0,['39N5ACM9HENWUA2FYJCNMRSGXHZP9A'],4,4,3,3,4,4,5,5,5,3,4.0,1
A366P19UT49WP6,"['326O153BMIY409Q61L1EEBC2AWQDEA', '3RKNTXVS3MYOA0Q1S5YZFOS5C3R4AJ']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
ACSAMXVDH047Z,['3DUZQ9U6SMOR49VAT1LD9EMOBURVSG'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3BH0Z9NRT9XRN,['3B4YI393V9WBCHE6Z6G8YR2HCQYSS9'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1MC4JNAU3Q1GY,"['39PAAFCODM0SJ98PI1Q3JJIADEITVI', '37Z929RLG98CRHRLO6LY8WY3EASTSH', '3OLF68YTN91Y8GNQCMUI6SPW1VBFAX', '3ZV9H2YQQD70ZHA0TWP8N8XQQM43WE']",4.25,4.5,4.5,4.5,4.5,4.5,4.25,4.25,4.25,4.5,4.5,4
AU5UJIZ3TLI5M,['3FE7TXL1LIN6U2IVDNCXC9ACWABQ2G'],2,5,2,2,2,2,2,2,2,2,2.0,1
A2SEQ3XDCFO18H,['3QY5DC2MXRKINP1OIRB96T1Q815UFW'],2,2,2,2,2,2,2,2,2,2,2.0,1
AC0B0RHJICXU1,"['333U7HK6I9FCBPCYFMC5BRPUF79JDU', '3ZDAD0O1T1DKNYDKIGRL74FVTTZXT6', '3NAPMVF0ZWFWOKDGHO3RCITHRMK27Z', '33LKR6A5KEKCXXSRBN6ECVBUODH1TD']",2.75,3.5,4.5,3.75,4.25,3.5,3.75,2.25,3.0,3.75,3.625,4
A3W0M61UTJAGUI,['35DR22AR5DKFOHFQ31LUPRBXZU1X34'],2,2,2,2,2,2,2,2,2,2,2.0,1
A2LQ9A7REC0KJX,['3570Y55XZPJ5IYHO3CEGRZ7F56EGYH'],2,2,2,2,2,2,2,2,2,2,2.0,1
