WorkerID,AssignmentID,Prompt1.0,Prompt2.0,Prompt3.0,Prompt4.0,Prompt5.0,Prompt6.0,Prompt7.0,Prompt8.0,Prompt9.0,Prompt10.0,Median,Size
A3GNQDFPZALU92,"['373ERPL3YO80Q2R89HLTIMT7S7UTRC', '3MMN5BL1WZ44U5GMPUJLEAVZSLVM3D', '3NGMS9VZTLIT474YN2GAKT0NYBOFFA', '36WLNQG78ZABLCSMNPA8JLO27AAEBY']",2.5,2.75,2.5,3.0,2.5,3.0,2.75,2.75,2.75,2.5,2.75,4
AO6B0VEVBGGAP,"['3FTOP5WARFOIC5B43AOAWK5BLF50JH', '3FE7TXL1LIN6U2IVDNCXC9ACW8F2QS', '320DUZ38G7MFN9MPHCDDHCSRSWCJGL', '3LUY3GC63Z0SGREMJME38V1A2UEP77', '35GMH2SV3EHV46HVRUFUP5O1EANEOY', '3K9FOBBF2HJRSRRB712LNBEGXYJLNF', '3XCC1ODXDLBNYMZGSDRYDHIK83BQRH', '3XCC1ODXDLBNYMZGSDRYDHIK80JQRJ', '3VW6495TLJ054P2OXI0MYZEJAYHYY2', '3MTMREQS4VI0J29L2B4IAGBWWYMWAX', '37ZHEEHM6WML929ZLOHWVSY9XY737U', '3E47SOBEYQW6BMMEX8WUFKSCHPXCIU', '32Q90QCQ1SLCEFWGT2N1IO7SU63EK6', '36PW28KO4ZW622NUHBACOA4WPVEEAY', '3MRNMEIQW56I6F0YI7OIR62MJU3DLB', '3VHHR074H3H2P6ZORULWRESQXJH7LT', '3PM8NZGV8YG7VILS1CXQ2Z489IIQXV', '37UQDCYH6XV5LBBI5YN2ENQSOGH7V8', '3L4D84MILZSTN5H01IVV2C4S7YYJHX', '3NLZY2D53PPCVO43NTU2R59L298LQ4', '3HRMW88U16Q8DDHP6712CCXSPAFM0O']",2.285714285714286,2.3333333333333335,2.285714285714286,2.285714285714286,2.285714285714286,2.285714285714286,2.3333333333333335,2.285714285714286,2.285714285714286,2.3333333333333335,2.285714285714286,21
A2VYPWRZRKYE2A,['3RKNTXVS3MYOA0Q1S5YZFOS5C5CA4E'],2,3,3,4,2,4,2,3,2,3,3.0,1
A3ESTJCYXNAS14,"['3KIBXJ1WD5UYQ695NGQXN016Y8QKOX', '30X31N5D63Q7CLSCI6UHDR8BQN1ASB', '3M1CVSFP605VZ5DZQ25CIRTA8WCAQC', '36U2A8VAG1ZAKKD7T3ZVPRZ8CHJYKE', '3DYGAII7PL82M9J1FLN98MI57KQQPQ', '3X1FV8S5JXROE4MJY1RWK03LNK0VG1', '3LRKMWOKB5HF8UJM0JVA32MG1D52ZV', '3SB5N7Y3O348L3L3V437Z7DVTOKG0R', '3XUHV3NRVKYLG62FCGR112LNPW95H1', '3JNQLM5FT4MV352ILI41VNBIM3SL2O']",4.9,5.0,5.0,5.0,4.8,4.6,5.0,5.0,5.0,4.7,5.0,10
AJKA9BKC011F2,"['3JJVG1YBEBXBPTZTCOH5FRIPUKB5BU', '3FTF2T8WLRIMEJZGA5QIEL0CQHYW9E', '39ZSFO5CA8WYSRNK1H2ULRTI14JJUD', '3JC6VJ2SABJ66JU16AH9KGYJC065AB']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4
A3OK67ZUPCJR1K,['3LBXNTKX0RV13J46KAM4G4EJZGJX9H'],5,5,4,5,3,4,5,3,5,5,5.0,1
A214JTAHTAWUKA,"['36V4Q8R5ZK0W16MON5VHRIOA2EYMQ7', '304SM51WA34CVVX4OKUD82SH83ESBC', '3LRLIPTPEQ99O2F4DXLFM5H19RIKAU', '3QY5DC2MXRKINP1OIRB96T1Q8YTFUZ']",2.0,2.25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4
A2ZMFEMAI9NIA9,['3ZWFC4W1UU7Q7X97EXG41IE612ZFRB'],2,2,2,2,2,2,2,2,2,2,2.0,1
A2SEQ3XDCFO18H,"['3GS6S824SQX73L3ABF9NWMVWV83NWW', '336YQZE83VE78K3Q3D7ET7TJ6LR5MZ']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A17BWQR8J2PA7P,['3AAPLD8UCCHN18D5DC9Z4IR15XQHTV'],3,4,4,4,3,3,2,2,2,3,3.0,1
