HITId,prompt_1_jaccard,prompt_2_jaccard,prompt_3_jaccard,prompt_4_jaccard,prompt_5_jaccard,prompt_6_jaccard,prompt_7_jaccard,prompt_8_jaccard,prompt_9_jaccard,prompt_10_jaccard,HITJaccard
3MG8450X2OASSITP6S2DU3J5NLPPUK,0.079002079002079,0.125,0.0698051948051948,0.1076388888888889,0.08856209150326798,0.09639953542392567,0.09131944444444445,0.13333333333333333,0.10717703349282295,0.10869565217391304,0.10178828445837432
39KMGHJ4RZA9OFDPR093QVUQZOA00M,0.07846153846153847,0.07692307692307693,0.0824829931972789,0.09495192307692307,0.10990338164251207,0.08792270531400967,0.0898989898989899,0.1188235294117647,0.08184656556645852,0.07651072124756335,0.08520284925564428
3JYPJ2TAYI8390WZB37E83I2DYAFPB,0.125,0.09901960784313726,0.08571428571428572,0.09740670461733081,0.08695652173913043,0.1297335203366059,0.06666666666666667,0.09646401985111663,0.09523809523809523,0.08064516129032258,0.09585105754460593
3P6ENY9P79WV6A01TY5U2RT37ZSIH0,0.05555555555555555,0.08823529411764706,0.09375,0.10416666666666667,0.05,0.10526315789473684,0.08333333333333333,0.05555555555555555,0.10526315789473684,0.08,0.0857843137254902
3X0EMNLXEPPS5XIPBICIQPLO1SYPV9,0.035098522167487683,0.04,0.07936507936507936,0.07142857142857142,0.09175084175084175,0.1111111111111111,0.0625,0.04006410256410256,0.0,0.04880952380952381,0.0556547619047619
38VTL6WC4AD5GHVBWEQOZIK1S9ZY55,0.05555555555555555,0.06896551724137931,0.08571428571428572,0.06896551724137931,0.11200716845878136,0.045454545454545456,0.07142857142857142,0.08957219251336898,0.06060606060606061,0.06060606060606061,0.06896551724137931
344M16OZKIFB01KQ0DAGMWS71IUNE5,0.058823529411764705,0.06896551724137931,0.05,0.038461538461538464,0.08333333333333333,0.07142857142857142,0.08928571428571429,0.05798319327731093,0.03333333333333333,0.09523809523809523,0.063894523326572
30U1YOGZGAW3O8YVCEGIF8KSO51SDT,0.04880952380952381,0.10526315789473684,0.08333333333333333,0.06976744186046512,0.07407407407407407,0.08166666666666667,0.06,0.03279569892473118,0.08108108108108109,0.09375,0.07757757757757758
3PCPFX4U40QO9CXEBGM3888CIUWFQ2,0.041666666666666664,0.08333333333333333,0.07692307692307693,0.09259259259259259,0.12,0.1111111111111111,0.05555555555555555,0.09259259259259259,0.08771929824561403,0.0,0.08552631578947367
386659BNTLH9V4Y7NJD340D04GG01P,0.08333333333333333,0.07894736842105263,0.11428571428571428,0.13333333333333333,0.08064516129032258,0.10344827586206896,0.0967741935483871,0.11904761904761904,0.10344827586206896,0.10909090909090909,0.10344827586206896
3T6SSHJUZFAV25BLZGNF23UI7C7IIT,0.08333333333333333,0.08759590792838876,0.05263157894736842,0.058823529411764705,0.07093534212178279,0.08633540372670807,0.08108108108108109,0.06521739130434782,0.06594202898550725,0.06666666666666667,0.06880100439422474
30EV7DWJTVV1ZLVP1X0TROY1O4AY6L,0.0967741935483871,0.08695652173913043,0.05277777777777778,0.08695652173913043,0.03333333333333333,0.05714285714285714,0.08565663976522378,0.06666666666666667,0.058823529411764705,0.06066176470588235,0.0636642156862745
33CLA8O0MIBOLDCEOVB3DYIHEGYFR3,0.08333333333333333,0.06666666666666667,0.10526315789473684,0.058823529411764705,0.07317073170731707,0.11864406779661017,0.106203007518797,0.15873015873015872,0.10810810810810811,0.07692307692307693,0.09429824561403508
3H6W48L9F4P5KMIU1SHECR42810PWJ,0.125,0.1043557168784029,0.08054054054054055,0.09449404761904762,0.1,0.08108108108108109,0.09090909090909091,0.1,0.12121212121212122,0.08,0.09724702380952381
3UQVX1UPFSHGKPG36NDH9JN5WMU026,0.12347560975609756,0.10638297872340426,0.1111111111111111,0.054804804804804805,0.07142857142857142,0.0975609756097561,0.09090909090909091,0.10263157894736842,0.061224489795918366,0.12698412698412698,0.10009627727856227
3JGHED38EDRK3L9UK75LX2YXJFUY7K,0.03333333333333333,0.09090909090909091,0.0967741935483871,0.10869565217391304,0.059714795008912656,0.07692307692307693,0.05714285714285714,0.0625,0.058823529411764705,0.1,0.06971153846153846
3LCXHSGDLT68GECV89R2LQ2DOH2SEM,0.10263157894736842,0.06186224489795918,0.07692307692307693,0.047619047619047616,0.04,0.06991869918699187,0.16025641025641024,0.07043650793650794,0.10869565217391304,0.07142857142857142,0.07093253968253968
338GLSUI43B0MSCR3KB838ND0IHFSR,0.08856209150326798,0.10526315789473684,0.06458333333333333,0.06896551724137931,0.0625,0.10263157894736842,0.11483516483516484,0.079002079002079,0.08333333333333333,0.07294900221729489,0.08116770616770616
3M0556243SK36FKMVOUM4ED7DJ9NFN,0.05555555555555555,0.0784313725490196,0.11834733893557423,0.08108108108108109,0.08792270531400967,0.06896551724137931,0.07692307692307693,0.09090909090909091,0.08,0.09302325581395349,0.08054054054054055
3EFNPKWBMSO557CMANRMSTSX20U03H,0.10310374149659865,0.07362240289069558,0.05982142857142857,0.05330188679245283,0.10310374149659865,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1565563725490196,0.08108108108108109,0.10310374149659865
3J6BHNX0U9SEM1C0WZLJKR5CLFQKNM,0.10204081632653061,0.0851063829787234,0.1043360433604336,0.08823529411764706,0.09838709677419355,0.09600614439324116,0.10256410256410256,0.08108108108108109,0.1,0.11215932914046121,0.09919354838709678
